Unnamed: 0,Total Confirmed,ARIMA,LSTM,GRU,prophet,Hybrid ARIMA+ANN,Proposed Model
1/27/23,44683754,47755428.271081656,46451944.0,45345690.0,57860797.0,45846640.896081656,45846672.40479311
1/28/23,44683863,47776047.29155687,46452056.0,45345776.0,58077742.0,45867259.91655687,45867291.42526832
1/29/23,44683943,47796666.312371485,46452190.0,45345880.0,58282977.0,45887878.937371485,45887910.446082935
1/30/23,44684009,47817285.33350533,46452292.0,45345960.0,58469599.0,45908497.95850533,45908529.46721679
1/31/23,44684120,47837904.35493946,46452380.0,45346024.0,58650219.0,45929116.97993946,45929148.48865092
2/1/23,44684248,47858523.37665604,46452510.0,45346130.0,58831679.0,45949736.00165604,45949767.5103675
2/2/23,44684347,47879142.3986383,46452668.0,45346250.0,58995108.0,45970355.0236383,45970386.53234975
2/3/23,44684475,47899761.42087046,46452788.0,45346336.0,59145437.0,45990974.04587046,45991005.55458191
2/4/23,44684588,47920380.44333768,46452950.0,45346460.0,59283035.0,46011593.06833768,46011624.577049136
2/5/23,44684679,47940999.466026,46453084.0,45346570.0,59407695.0,46032212.091026,46032243.59973745
2/6/23,44684768,47961618.4889223,46453196.0,45346656.0,59513547.0,46052831.1139223,46052862.62263376
2/7/23,44684864,47982237.51201422,46453310.0,45346740.0,59614165.0,46073450.13701422,46073481.64572567
2/8/23,44684973,48002856.535290144,46453428.0,45346830.0,59717273.0,46094069.160290144,46094100.6690016
2/9/23,44685087,48023475.55873915,46453564.0,45346936.0,59804790.0,46114688.18373915,46114719.6924506
2/10/23,44683862,48044094.58235096,46453704.0,45347050.0,59882328.0,46135307.207350954,46135338.71606241
2/11/23,44685219,48064713.60611589,46452190.0,45345880.0,59950828.0,46155926.23111589,46155957.73982735
2/12/23,44685425,48085332.63002487,46453868.0,45347170.0,60010537.0,46176545.25502487,46176576.76373632
2/13/23,44685499,48105951.65406933,46454116.0,45347370.0,60055920.0,46197164.279069334,46197195.78778079
2/14/23,44685601,48126570.67824124,46454212.0,45347440.0,60100777.0,46217783.30324124,46217814.811952695
2/15/23,44685727,48147189.70253301,46454336.0,45347532.0,60152940.0,46238402.327533014,46238433.836244464
2/16/23,44685884,48167808.72693755,46454496.0,45347650.0,60194338.0,46259021.35193755,46259052.860649005
2/17/23,44686001,48188427.75144813,46454690.0,45347800.0,60230496.0,46279640.37644813,46279671.88515958
2/18/23,44686143,48209046.77605848,46454836.0,45347916.0,60262185.0,46300259.40105848,46300290.90976994
2/19/23,44686263,48229665.80076266,46455010.0,45348052.0,60289413.0,46320878.42576266,46320909.93447411
2/20/23,44686358,48250284.82555511,46455150.0,45348160.0,60306349.0,46341497.45055511,46341528.95926656
2/21/23,44686483,48270903.85043058,46455268.0,45348256.0,60326451.0,46362116.47543058,46362147.98414204
2/22/23,44686676,48291522.87538414,46455424.0,45348376.0,60357182.0,46382735.50038414,46382767.0090956
2/23/23,44686842,48312141.90041115,46455664.0,45348560.0,60380084.0,46403354.52541115,46403386.0341226
2/24/23,44687025,48332760.925507255,46455864.0,45348710.0,60400296.0,46423973.550507255,46424005.05921871
2/25/23,44687243,48353379.95066836,46456090.0,45348884.0,60418210.0,46444592.57566836,46444624.08437981
2/26/23,44687428,48373998.97589059,46456370.0,45349092.0,60433473.0,46465211.60089059,46465243.10960205
